"Occupation Title","SOC Code","Employment 2016 (thousands)","Employment 2026 (thousands)","Employment change, 2016-2026 (thousands)","Employment change, 2016-2026 (percent)","Occupational openings, 2016-2026 annual average (thousands)","2017 median annual wage","Typical entry-level education","Education Code","Work experience in a related occupation","Workex Code","Typical on-the-job training","trCode"
"Accountants and auditors    * Account Auditor* Accountant* Auditor* Auditor-In-Charge* CPA* Certified Public Accountant* Cost Accountant* Field Auditor* Financial Accountant* Financial Auditor* Fund Accountant* Internal Auditor* Payroll Auditor* Tax Accountant","=""13-2011""","1,397.7","1,537.6","139.9","10.0","141.8","69,350","Bachelor's degree","3","None","4","None","6"
"Actuaries    * Actuarial Associate* Actuarial Mathematician* Health Actuary* Insurance Actuary* Pricing Actuary* Product Development Actuary","=""15-2011""","23.6","28.9","5.3","22.5","2.1","101,560","Bachelor's degree","3","None","4","Long-term on-the-job training","3"
"Administrative services managers    * Administrative Services Manager* Business Office Manager* Business Unit Manager* Facilities Manager* Records Management Director* Records and Information Manager","=""11-3011""","281.7","310.2","28.5","10.1","26.2","94,020","Bachelor's degree","3","Less than 5 years","2","None","6"
"Adult basic and secondary education and literacy teachers and instructors    * Adult Basic Studies Teacher* Adult Education Teacher* Adult Literacy Instructor* Adult Literacy Teacher* Adult Remedial Education Instructor* GED Instructor* General Educational Development (GED) Teacher* General Educational Development Teacher","=""25-3011""","68.2","64.7","-3.4","-5.1","6.8","52,100","Bachelor's degree","3","None","4","None","6"
"Advertising and promotions managers    * Advertising Director* Advertising Executive* Advertising Manager* Classified Advertising Manager* Promotion Manager* Promotions Director* VP Advertising* VP Promotions","=""11-2011""","31.3","33.0","1.7","5.5","3.4","106,130","Bachelor's degree","3","Less than 5 years","2","None","6"
"Aerospace engineers    * Aerodynamics Engineer* Aeronautical Engineer* Aerospace Engineer* Aircraft Design Engineer* Aircraft Designer* Aircraft Engineer* Astronautical Engineer* Flight Systems Test Engineer* Flight Test Engineer* Wind Tunnel Engineer","=""17-2011""","69.6","73.8","4.2","6.1","4.6","113,030","Bachelor's degree","3","None","4","None","6"
"Agents and business managers of artists, performers, and athletes    * Artist Manager* Artist Representative* Author's Agent* Band Manager* Booking Agent* Booking Manager* Fight Manager* Literary Agent* Modeling Agent* Talent Agent* Talent Manager* Theatrical Agent","=""13-1011""","19.1","20.0","0.9","4.7","2.3","64,940","Bachelor's degree","3","Less than 5 years","2","None","6"
"Agricultural engineers    * Agricultural Engineer* Agricultural Production Engineer* Agricultural Research Engineer* Farm Equipment Engineer* Research Agricultural Engineer","=""17-2021""","2.7","2.9","0.2","8.2","0.2","74,780","Bachelor's degree","3","None","4","None","6"
"Agricultural inspectors    * Cattle Examiner* Cattle Inspector* Grain Sampler* Meat and Poultry Inspector* Milk Tester* Wheat Inspector","=""45-2011""","15.6","16.3","0.7","4.6","2.2","43,390","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Airline pilots, copilots, and flight engineers    * Airline Captain* Airline Pilot* Airline Pilot Flight Instructor* Airline Pilot In Command* Airline Pilot Second In Command* Airline Transport Pilot* Charter Pilot (Air Transport Pilot Certificate Required)* Charter Pilot (Airline)* Regional Airline Pilot","=""53-2011""","84.0","86.9","2.9","3.4","8.1","137,330","Bachelor's degree","3","Less than 5 years","2","Moderate-term on-the-job training","4"
"Animal scientists    * Animal Geneticist* Animal Nutritionist* Animal Scientist* Beef Cattle Nutritionist* Dairy Scientist* Poultry Scientist* Swine Genetics Researcher","=""19-1011""","6.1","6.4","0.4","5.9","0.7","60,760","Bachelor's degree","3","None","4","None","6"
"Appraisers and assessors of real estate    * Assessor* City Assessor* County Assessor* Land Appraiser* Personal Property Assessor* Property Appraiser* Real Estate Appraiser* Real Estate Assessor* Real Property Evaluator* Residential Fee Appraiser* Tax Assessor","=""13-2021""","80.8","92.4","11.7","14.4","6.7","54,010","Bachelor's degree","3","None","4","Long-term on-the-job training","3"
"Arbitrators, mediators, and conciliators    * Alternative Dispute Resolution Coordinator* Mediation Commissioner* Ombudsman","=""23-1022""","7.8","8.7","0.8","10.4","0.4","60,670","Bachelor's degree","3","Less than 5 years","2","Moderate-term on-the-job training","4"
"Architects, except landscape and naval    * Building Architect* Building Architectural Designer* Structural Architect","=""17-1011""","128.8","134.2","5.5","4.2","9.7","78,470","Bachelor's degree","3","None","4","Internship/residency","1"
"Architectural and engineering managers    * Electrical Engineering Director* Engineering Design Manager* Engineering Manager* Engineering Research Manager* Global Engineering Manager* Mechanical Engineering Director* Process Engineering Manager","=""11-9041""","180.1","190.0","9.9","5.5","13.6","137,720","Bachelor's degree","3","5 years or more","1","None","6"
"Art directors    * Art Director* Magazine Designer","=""27-1011""","90.3","95.2","4.9","5.4","7.7","92,500","Bachelor's degree","3","5 years or more","1","None","6"
"Athletic trainers    * Athletic Trainer* Certified Athletic Trainer* Clinical Athletic Instructor* Resident Athletic Trainer","=""29-9091""","27.8","34.1","6.3","22.8","2.2","46,630","Bachelor's degree","3","None","4","None","6"
"Atmospheric and space scientists    * Atmospheric Chemist* Atmospheric Scientist* Climatologist* Hurricane Tracker* Meteorologist* Oceanographic Meteorologist* Space Scientist* Storm Chaser* Tornado Chaser* Warning Coordination Meteorologist* Weather Analyst* Weather Forecaster* Weatherman","=""19-2021""","10.4","11.7","1.3","12.0","0.9","92,070","Bachelor's degree","3","None","4","None","6"
"Audio-visual and multimedia collections specialists    * Audio-Visual Collections Coordinator* Library Media Specialist* Multimedia Services Coordinator","=""25-9011""","11.3","12.3","1.0","8.9","1.1","48,590","Bachelor's degree","3","Less than 5 years","2","None","6"
"Biological scientists, all other    * Biologist* Bryologist* Embryologist* Osteologist* Paleobotanist* Phytopathologist* Plant Etiologist","=""19-1029""","38.7","41.8","3.1","8.0","3.7","76,690","Bachelor's degree","3","None","4","None","6"
"Biological technicians    * Bacteriology Technician* Biochemistry Technician* Biology Laboratory Assistant* Marine Fisheries Technician* Microbiology Technician* Wildlife Technician","=""19-4021""","82.1","90.4","8.4","10.2","8.9","43,800","Bachelor's degree","3","None","4","None","6"
"Biomedical engineers    * Bio-Mechanical Engineer* Biochemical Engineer* Biomaterials Engineer* Biomedical Engineer* Dialysis Engineer* Genetic Engineer","=""17-2031""","21.3","22.8","1.5","7.2","1.6","88,040","Bachelor's degree","3","None","4","None","6"
"Broadcast news analysts    * News Anchor* News Commentator* Newscaster","=""27-3021""","5.7","5.6","0.0","-0.4","0.5","62,910","Bachelor's degree","3","None","4","None","6"
"Budget analysts    * Budget Analyst* Budget Coordinator* Budget Examiner* Budget Officer* Cost Analyst","=""13-2031""","58.4","62.2","3.8","6.5","4.8","75,240","Bachelor's degree","3","None","4","None","6"
"Business operations specialists, all other    * Mystery Shopper* Ship Purser","=""13-1199""","1,023.9","1,114.3","90.3","8.8","104.2","70,010","Bachelor's degree","3","None","4","None","6"
"Buyers and purchasing agents, farm products    * Cattle Buyer* Cotton Broker* Cotton Buyer* Fruit Buyer* Grain Buyer* Hog Buyer* Livestock Buyer* Oyster Buyer* Purchasing Agent, Cotton, Grain, Livestock, Other Farm Products* Tobacco Buyer","=""13-1021""","13.7","12.9","-0.9","-6.2","1.4","N/A","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Camera operators, television, video, and motion picture    * Cinematographer* Electronic News Gathering Camera Operator* Motion Picture Camera Operator* Movie Shot Camera Operator* News Camera Operator* News Videographer* Television Camera Operator* Video Camera Operator","=""27-4031""","25.1","26.9","1.8","7.0","2.6","53,550","Bachelor's degree","3","None","4","None","6"
"Career/technical education teachers, middle school    * Middle School Vocational Education Teacher","=""25-2023""","12.7","13.6","0.9","7.3","1.0","58,630","Bachelor's degree","3","Less than 5 years","2","None","6"
"Career/technical education teachers, secondary school    * High School Auto Repair Teacher* High School Vocational Education Teacher","=""25-2032""","78.7","83.7","5.0","6.4","6.0","58,660","Bachelor's degree","3","Less than 5 years","2","None","6"
"Cartographers and photogrammetrists    * Cadastral Mapper* Digital Cartographer* Engineer, Photogrammetric* Map Maker* Mapper* Orthophotography Technician* Photo Cartographer* Photogrammetrist* Topographer","=""17-1021""","12.6","15.0","2.4","19.4","1.2","63,990","Bachelor's degree","3","None","4","None","6"
"Chemical engineers    * Absorption and Adsorption Engineer* Chemical Process Engineer* Chemical Research Engineer* Fuels Engineer* Oxidation Engineer* Plastics Engineer* Polymerization Engineer* Refinery Process Engineer","=""17-2041""","32.7","35.1","2.5","7.5","2.4","102,160","Bachelor's degree","3","None","4","None","6"
"Chemists    * Agricultural Chemist* Analytical Chemist* Bench Chemist* Food Chemist* Formulary Chemist* Industrial Chemist* Inorganic Chemist* Laboratory Chemist* Nuclear Chemist* Organic Chemist* Quality Control Chemist* Research and Development Chemist","=""19-2031""","88.3","94.0","5.7","6.5","8.6","74,740","Bachelor's degree","3","None","4","None","6"
"Chief executives    * CEO* COO* Chief Executive Officer* Chief Operating Officer* Commissioner of Internal Revenue* County Commissioner* Government Service Executive* Governor* Mayor","=""11-1011""","308.9","296.8","-12.1","-3.9","20.0","183,270","Bachelor's degree","3","5 years or more","1","None","6"
"Child, family, and school social workers    * C-CYFSW* Certified Children, Youth, and Family Social Worker* Child Abuse Worker* Child Protective Services Social Worker* Child Protective Services Specialist* Child Welfare Social Worker* Child Welfare Worker* Child and Family Services Worker* Family Preservation Caseworker* Family Preservation Worker* Family Service Caseworker* Foster Care Social Worker* Foster Care Worker* School Social Worker","=""21-1021""","317.6","362.6","45.0","14.2","38.3","44,380","Bachelor's degree","3","None","4","None","6"
"Civil engineers    * Architectural Engineer* Bridge Engineer* Civil Engineer* Construction Engineer* Facilities Engineer* Geotechnical Engineer* Highway Engineer* Hydrographic Engineer* Railroad Design Consultant* Research Hydraulic Engineer* Structural Engineer","=""17-2051""","303.5","335.7","32.2","10.6","25.9","84,770","Bachelor's degree","3","None","4","None","6"
"Clergy    * Cantor* Children's Pastor* College Chaplain* Hebrew Cantor* Hospital Chaplain* Imam* Minister* Parish Priest* Pastor* Priest* Rabbi* Reverend* Vicar* Youth Pastor","=""21-2011""","243.9","263.8","19.9","8.2","29.2","47,100","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Coaches and scouts    * Athletic Coach* Baseball Coach* Baseball Scout* Basketball Coach* Boxing Trainer* Coach* Football Coach* Hockey Scout* Ice Skating Coach* Riding Coach* Ski Coach* Tennis Coach* Tennis Instructor","=""27-2022""","276.1","311.7","35.7","12.9","42.1","32,270","Bachelor's degree","3","None","4","None","6"
"Commercial and industrial designers    * Automobile Designer* Bank Note Designer* Bicycle Designer* Car Body Designer* Ceramic Designer* Ceramic Mold Designer* Furniture Designer* Package Designer* Rug Designer* Snowboard Designer* Textile Designer* Tile Designer* Toy Designer","=""27-1021""","39.7","41.4","1.8","4.4","3.9","65,970","Bachelor's degree","3","None","4","None","6"
"Community and social service specialists, all other    * Community Organization Worker* Veterans Service Officer","=""21-1099""","100.3","113.5","13.2","13.2","14.1","41,570","Bachelor's degree","3","None","4","None","6"
"Compensation and benefits managers    * Compensation Director* Employee Benefits Coordinator* Employee Benefits Director* Employee Benefits Manager* Wage and Salary Administrator","=""11-3111""","15.8","16.6","0.8","5.0","1.2","119,120","Bachelor's degree","3","5 years or more","1","None","6"
"Compensation, benefits, and job analysis specialists    * Benefits Analyst* Compensation Analyst* Compensation Specialist* Employee Benefits Specialist* Job Analyst* Job Specification Writer* Occupational Analyst* Pension Administrator* Position Classification Specialist* Retirement Plan Specialist","=""13-1141""","84.2","91.3","7.2","8.5","7.7","62,680","Bachelor's degree","3","Less than 5 years","2","None","6"
"Compliance officers    * Air Pollution Compliance Inspector* Compliance Investigator* Driver's License Examiner* EEO Officer* Environmental Compliance Inspector* Equal Employment Opportunity Investigator* Equal Employment Opportunity Officer* Equal Employment Opportunity Representative* Immigration Investigator* Inspector of Weights and Measures* License Inspector* Mortician Investigator* Wage and Hour Investigator","=""13-1041""","288.3","312.0","23.7","8.2","25.9","67,870","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Computer and information systems managers    * Application Development Director* Chief Technology Officer* Computer Operations Manager* Computer Security Manager* Data Operations Director* Data Processing Manager* Information Systems Director* Information Systems Manager* Information Technology Director* Information Technology Systems Director* Internet Technology Manager* MIS Director* Management Information Systems Director","=""11-3021""","367.6","411.8","44.2","12.0","32.5","139,220","Bachelor's degree","3","5 years or more","1","None","6"
"Computer hardware engineers    * Computer Hardware Designer* Computer Hardware Developer* Computer Hardware Engineer","=""17-2061""","73.6","77.6","4.0","5.5","5.1","115,120","Bachelor's degree","3","None","4","None","6"
"Computer network architects    * Computer Network Engineer* Network Designer* Network Developer* Network Engineer","=""15-1143""","162.7","173.2","10.5","6.5","11.7","104,650","Bachelor's degree","3","5 years or more","1","None","6"
"Computer occupations, all other    * Computer Laboratory Technician","=""15-1199""","287.2","313.8","26.6","9.3","22.4","88,510","Bachelor's degree","3","None","4","None","6"
"Computer programmers    * Applications Programmer* Computer Language Coder* Computer Programmer* Junior Software Developer* Mainframe Programmer* Systems Programmer","=""15-1131""","294.9","273.6","-21.3","-7.2","15.5","82,240","Bachelor's degree","3","None","4","None","6"
"Computer systems analysts    * Applications Analyst* Computer Systems Analyst* Computer Systems Consultant* Data Processing Systems Analyst* Information Systems Analyst* Information Systems Planner* Programmer Analyst* Systems Architect","=""15-1121""","600.5","654.9","54.4","9.1","44.9","88,270","Bachelor's degree","3","None","4","None","6"
"Conservation scientists    * Conservation Science Officer* Conservation Scientist* Grassland Conservationist* Land Reclamation Specialist* Land Resource Specialist* Range Conservationist* Range Ecologist* Range Scientist* Resource Conservationist* Soil Conservationist* Water Conservationist","=""19-1031""","22.3","23.7","1.4","6.3","2.0","61,480","Bachelor's degree","3","None","4","None","6"
"Construction managers    * Construction Coordinator* Construction Superintendent* General Contractor* Masonry Contractor Administrator","=""11-9021""","403.8","448.6","44.8","11.1","33.2","91,370","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Cost estimators    * Construction Estimator* Construction Job Cost Estimator* Crating and Moving Estimator* Electrical Estimator* Job Estimator* Production Cost Estimator","=""13-1051""","217.9","240.8","22.9","10.5","24.4","63,110","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Credit analysts    * Chief Credit Analyst* Credit Analyst* Credit Assessment Analyst* Credit Risk Analyst* Factorer","=""13-2041""","73.8","79.9","6.2","8.4","6.8","71,290","Bachelor's degree","3","None","4","None","6"
"Credit counselors    * Credit Counselor* Debt Management Counselor* Financial Assistance Advisor* Loan Counselor","=""13-2071""","38.3","43.6","5.3","13.8","3.8","44,710","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Database administrators    * Automatic Data Processing Planner* DBMS Specialist* Database Administration Manager* Database Coordinator* Database Management System Specialist* Database Security Administrator","=""15-1141""","119.5","133.2","13.7","11.5","9.3","87,020","Bachelor's degree","3","None","4","None","6"
"Designers, all other    * Memorial Marker Designer","=""27-1029""","9.0","9.5","0.5","5.8","0.9","55,930","Bachelor's degree","3","None","4","None","6"
"Dietitians and nutritionists    * Clinical Dietitian* Dietitian* Nutritionist* Pediatric Dietician* Public Health Dietitian* Public Health Nutritionist* Research Dietitian* Sports Nutritionist* Therapeutic Dietitian","=""29-1031""","68.0","77.9","9.9","14.6","5.4","59,410","Bachelor's degree","3","None","4","Internship/residency","1"
"Directors, religious activities and education    * Campus Ministry Director* Christian Education Minister* Education Minister* Parish Religious Education Director* Religious Activities Director* Religious Education Coordinator* Religious Education Director* Student Ministries Director* Youth Ministry Director","=""21-2021""","147.1","157.5","10.4","7.1","19.4","38,980","Bachelor's degree","3","Less than 5 years","2","None","6"
"Editors    * Advertising Editor* Art Editor* Book Editor* Copy Desk Chief* Copy Editor* Index Editor* Manuscript Editor* Newspaper Photo Editor* Publications Editor* Rewrite Editor* Scientific Publications Editor* Sports Editor* Technical Editor","=""27-3041""","127.4","125.6","-1.8","-1.4","12.0","58,770","Bachelor's degree","3","Less than 5 years","2","None","6"
"Education administrators, all other","=""11-9039""","38.4","42.5","4.1","10.6","3.4","81,630","Bachelor's degree","3","Less than 5 years","2","None","6"
"Education administrators, preschool and childcare center/program    * Childcare Center Administrator* Childcare Center Director* Early Head Start Director* Head Start Director* Prekindergarten Program Coordinator* Preschool Director","=""11-9031""","61.8","68.5","6.7","10.8","5.5","46,890","Bachelor's degree","3","Less than 5 years","2","None","6"
"Education, training, and library workers, all other    * General Educational Development (GED) Examiner* Individualized Education Plan (IEP) Aide* Scholastic Aptitude Test (SAT) Grader","=""25-9099""","112.7","124.9","12.2","10.8","11.7","43,140","Bachelor's degree","3","None","4","None","6"
"Electrical engineers    * Electrical Design Engineer* Electrical Engineer* Electrical Systems Engineer* Illuminating Engineer* Power Distribution Engineer","=""17-2071""","188.3","204.5","16.2","8.6","13.9","95,060","Bachelor's degree","3","None","4","None","6"
"Electronics engineers, except computer    * Antenna Engineer* Circuit Design Engineer* Electronic Design Automation Engineer* Electronic Engineer* Electronic Parts Designer* Telecommunication Engineer","=""17-2072""","136.3","141.3","5.1","3.7","9.2","102,180","Bachelor's degree","3","None","4","None","6"
"Elementary school teachers, except special education    * 3rd Grade Reading Teacher* 4th Grade Math Teacher* Elementary School Band Director* Elementary School Teacher* Grades 1 Thru 5 Teacher","=""25-2021""","1,410.9","1,514.9","104.1","7.4","112.8","57,160","Bachelor's degree","3","None","4","None","6"
"Emergency management directors    * Director of Civil Defense* Disaster Response Director* EMS Director* Emergency Management System Director* Emergency Planner* Emergency Planning and Response Manager* Emergency Preparedness Coordinator* Emergency Services Director* Emergency Services Program Coordinator* Public Safety Director","=""11-9161""","10.1","10.9","0.8","7.7","0.9","72,760","Bachelor's degree","3","5 years or more","1","None","6"
"Engineers, all other    * Corrosion Control Engineer* Mathematical Engineer* Optical Engineer* Ordnance Engineer* Photonics Engineer* Salvage Engineer","=""17-2199""","132.5","141.0","8.5","6.4","9.5","97,250","Bachelor's degree","3","None","4","None","6"
"Environmental engineers    * Air Pollution Control Engineer* Environmental Engineer* Environmental Remediation Engineer* Hazardous Substances Engineer* Hazardous Waste Management Control Engineer* Pollution Control Engineer* Soil Engineer* Waste Management Engineer* Wastewater Treatment Engineer* Water Treatment Plant Engineer","=""17-2081""","53.8","58.3","4.5","8.3","4.0","86,800","Bachelor's degree","3","None","4","None","6"
"Environmental scientists and specialists, including health    * Ecological Modeler* Environmental Analyst* Environmental Scientist* Hazardous Substances Scientist* Health Environmentalist* Water Pollution Scientist* Water Quality Analyst","=""19-2041""","89.5","99.4","9.9","11.1","9.5","69,400","Bachelor's degree","3","None","4","None","6"
"Exercise physiologists    * Applied Exercise Physiologist* Clinical Exercise Physiologist* Kinesiotherapist","=""29-1128""","15.1","17.1","2.0","13.1","1.1","49,090","Bachelor's degree","3","None","4","None","6"
"Fashion designers    * Apparel Designer* Clothes Designer* Clothing Designer* Costume Designer* Custom Furrier* Dance Costume Designer* Dress Designer* Fashion Designer* Hat Designer* Sweater Designer* Uniform Designer","=""27-1022""","23.8","24.4","0.6","2.6","2.3","67,420","Bachelor's degree","3","None","4","None","6"
"Film and video editors    * Cue Selector* Electronic News Gathering Editor* Film Editor* Movie Editor* News Video Editor* News Videotape Editor* Tape Editor* Television News Video Editor* Video Tape Transferrer","=""27-4032""","34.2","40.0","5.8","17.0","4.0","61,180","Bachelor's degree","3","None","4","None","6"
"Financial analysts    * Corporate Financial Analyst* Corporate Securities Research Analyst* Corporate Statistical Financial Analyst* Institutional Commodity Analyst","=""13-2051""","296.1","328.2","32.2","10.9","29.0","84,300","Bachelor's degree","3","None","4","None","6"
"Financial examiners    * Bank Compliance Officer* Bank Examiner* Financial Compliance Examiner* Home Mortgage Disclosure Act Specialist* Payroll Examiner* Pension Examiner","=""13-2061""","52.5","57.6","5.1","9.8","4.6","81,690","Bachelor's degree","3","None","4","Long-term on-the-job training","3"
"Financial managers    * Banking Center Manager* Banking Manager* City Comptroller* City Treasurer* Comptroller* Credit Manager* Financial Director* Financial Officer* Fiscal Manager* International Bank Manager* Residential Mortgage Manager","=""11-3031""","580.4","689.0","108.6","18.7","56.9","125,080","Bachelor's degree","3","5 years or more","1","None","6"
"Financial specialists, all other    * Bail Bondsman* Bondsman* Executor of Estate* Foreign Exchange Trader","=""13-2099""","135.9","149.0","13.1","9.6","13.1","69,520","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Fine artists, including painters, sculptors, and illustrators    * Book Illustrator* Caricature Artist* Comic Artist* Comic Book Artist* Comic Illustrator* Commercial Artist* Concrete Sculptor* Editorial Cartoonist* Fashion Illustrator* Free Lance Artist* Fresco Artist* Glass Artist* Ice Sculptor* Medical Illustrator* Mural Painter* Muralist* Non-Representational Metal Sculptor* Oil Painter* Pattern Illustrator* Political Cartoonist* Portrait Artist* Portrait Painter* Scientific Illustrator* Sketch Artist* Sports Cartoonist* Stained Glass Artist* Water Colorist* Watercolor Artist","=""27-1013""","28.0","29.9","1.9","6.6","2.4","49,520","Bachelor's degree","3","None","4","Long-term on-the-job training","3"
"Fish and game wardens    * Conservation Enforcement Officer* Fish Warden* Fish and Game Warden* Fish and Wildlife Warden* Game Warden* Wildlife Control Agent* Wildlife Officer* Wildlife and Game Protector","=""33-3031""","7.0","7.3","0.3","4.3","0.7","56,410","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Food scientists and technologists    * Dairy Bacteriologist* Enologist* Food Preservation Scientist* Food Processing Scientist* Food Safety Scientist* Food Scientist* Food Technologist","=""19-1012""","17.0","18.0","1.0","5.7","1.8","63,660","Bachelor's degree","3","None","4","None","6"
"Forensic science technicians    * Ballistic Technician* Ballistician* Ballistics Expert* Crime Lab Technician* Crime Scene Technician* Criminalist Technician* Fingerprint Expert* Forensic Analyst* Forensic Science Technician* Handwriting Expert* Trace Evidence Technician* Wildlife Forensic Geneticist","=""19-4092""","15.4","18.0","2.6","16.8","2.2","57,850","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Foresters    * Environmental Protection Forester* Forest Ecologist* Forestry Scientist* Land Management Forester* Operations Forester* Resource Forester* Service Forester* Timber Management Specialist* Urban Forester","=""19-1032""","12.3","12.9","0.6","5.0","1.1","60,120","Bachelor's degree","3","None","4","None","6"
"Fundraisers    * Campaign Fundraiser* Donor Relations Officer* Fundraising Officer","=""13-1131""","90.4","103.8","13.4","14.8","10.7","55,640","Bachelor's degree","3","None","4","None","6"
"General and operations managers    * Department Store General Manager* General Manager* General Superintendent* Manufacturing Operations Manager* Operations Manager* Radio Station Manager* Television Station Manager","=""11-1021""","2,263.1","2,468.3","205.2","9.1","210.7","100,410","Bachelor's degree","3","5 years or more","1","None","6"
"Geographers    * Biogeographer* Economic Geographer* GIS Geographer* Geographer* Geomorphologist* Glaciologist* Physical Geographer* Political Geographer","=""19-3092""","1.5","1.7","0.1","6.7","0.2","76,860","Bachelor's degree","3","None","4","None","6"
"Geoscientists, except hydrologists and geographers    * Crystallographer* Development Geologist* Environmental Geologist* Exploration Geologist* Geochemist* Geodesist* Geologist* Geomagnetist* Geophysicist* Geoscientist* Mine Geologist* Mineralogist* Mining Production Geologist* Oceanographer* Oceanologist* Paleontologist* Petroleum Geologist* Petrologist* Research Geologist* Sedimentationist* Seismologist* Stratigrapher* Volcanologist","=""19-2042""","32.0","36.5","4.5","14.0","3.5","89,850","Bachelor's degree","3","None","4","None","6"
"Graduate teaching assistants    * Graduate Student Instructor* Teaching Fellow","=""25-1191""","168.3","181.2","12.9","7.7","14.4","32,460","Bachelor's degree","3","None","4","None","6"
"Graphic designers    * Catalogue Illustrator* Graphic Artist* Graphic Designer* Visual Designer","=""27-1024""","266.3","277.4","11.1","4.2","26.0","48,700","Bachelor's degree","3","None","4","None","6"
"Health and safety engineers, except mining safety engineers and inspectors    * Fire Prevention Engineer* Fire Protection Engineer* Industrial Safety Engineer* Product Safety Engineer* Product Safety Test Engineer* System Safety Engineer","=""17-2111""","25.9","28.1","2.2","8.6","1.9","88,510","Bachelor's degree","3","None","4","None","6"
